dish_id,category,name,ingredients,add_ons,preferred_weather,type,base_price,calories,Cooking Method,spice_level,allergens,available_days
1,Appetizers,Goose Cream Soup,"[""goose meat"", ""cream"", ""carrots"", ""celery"", ""onions"", ""thyme"", ""garlic"", ""salt"", ""pepper""]","[""goose giblets"", ""vegetables"", ""cress""]",Winter,Meat,15.5,150,Boiled,Low,"[""none""]",Monday to Friday
2,Appetizers,Goat Cheese,"[""goat cheese"", ""honey"", ""walnuts"", ""mixed greens"", ""olive oil""]","[""goat cheese"", ""bacon"", ""onion cream"", ""pear""]",All Seasons,Vegetarian,18.5,200,Roasted,Low,"[""dairy""]",From 12:00 to 14:00
3,Appetizers,Vitello Tonnato,"[""veal"", ""tuna"", ""mayonnaise"", ""capers"", ""lemon juice"", ""anchovies"", ""olive oil""]","[""tuna"", ""capers"", ""baby leaf""]",Summer,Meat,17.5,180,No Cook,Low,"[""seafood""]",Monday to Friday
4,Appetizers,Beef Tartare,"[""beef"", ""egg yolk"", ""mustard"", ""capers"", ""parsley"", ""onions"", ""salt"", ""pepper""]","[""corn"", ""coriander"", ""jalapenos"", ""papadam""]",Winter,Meat,18.5,220,No Cook,Medium,"[""none""]",Monday to Friday
5,Appetizers,Marinated Monkfish,"[""monkfish"", ""lemon juice"", ""olive oil"", ""garlic"", ""parsley""]","[""radicchio"", ""saffron mayo"", ""white tomato foam""]",Summer,Meat,17.5,170,Marinated,Low,"[""seafood""]",Monday to Friday
6,Appetizers,Salmon Rolls,"[""smoked salmon"", ""cream cheese"", ""dill"", ""lemon zest""]","[""salmon"", ""honey mustard sauce"", ""baby leaf""]",All Seasons,Meat,13,130,No Cook,Low,"[""seafood""]",Mon-Fri (12 PM to 2 PM)
7,Appetizers,Goat Cheese Patties,"[""goat cheese"", ""bread crumbs"", ""egg"", ""flour"", ""sunflower oil""]","[""fried onion cream"", ""berries"", ""greens""]",All Seasons,Vegetarian,15.5,160,Roasted,Low,"[""dairy""]",Mon-Fri (12 PM to 2 PM)
8,Appetizers,Pumpkin Soup,"[""pumpkin"", ""onions"", ""vegetable stock"", ""cream"", ""garlic"", ""nutmeg"", ""salt"", ""pepper""]","[""coconut"", ""apple"", ""pumpkin seeds"", ""pumpkin oil""]",All Seasons,Vegetarian,12.5,150,Boiled,Low,"[""none""]",Mon-Fri (12 PM to 2 PM)
9,Main Courses,Beef Fillet,"[""beef fillet"", ""butter"", ""garlic"", ""rosemary"", ""salt"", ""pepper""]","[""beef"", ""porcini mushroom"", ""chestnuts""]",All Seasons,Meat,39.5,400,Roasted,Medium,"[""none""]",All Days
10,Main Courses,Fish of the Day,"[""fish fillet"", ""lemon juice"", ""butter"", ""parsley"", ""salt"", ""pepper"", ""olive oil""]","[""fish"", ""potato lime puree"", ""beetroot""]",Summer,Meat,35.5,350,Grilled,Low,"[""seafood""]",All Days
11,Main Courses,Ox Cheek,"[""ox cheeks"", ""red wine"", ""onions"", ""carrots"", ""celery"", ""thyme"", ""garlic"", ""salt"", ""pepper""]","[""beef"", ""ravioli"", ""pumpkin"", ""onions""]",Winter,Meat,35.5,370,Braised,Medium,"[""gluten""]",All Days
12,Main Courses,Duck Leg Confit,"[""duck legs"", ""duck fat"", ""garlic"", ""thyme"", ""salt"", ""pepper""]","[""duck"", ""kale"", ""potato dumplings"", ""grapefruit""]",Winter,Meat,35.5,360,Confit,Medium,"[""none""]",All Days
13,Main Courses,Risotto,"[""arborio rice"", ""onions"", ""butter"", ""parmesan cheese"", ""white wine"", ""chicken stock""]","[""roasted peppers"", ""chorizo"", ""parma ham""]",Summer,Meat,32.5,320,Boiled,Low,"[""dairy""]",All Days
14,Main Courses,Truffle Gnocchi,"[""potato gnocchi"", ""truffle oil"", ""parmesan cheese"", ""cream"", ""salt"", ""pepper""]","[""onions"", ""tomatoes"", ""parmesan""]",All Seasons,Vegetarian,33.5,330,Boiled,Low,"[""dairy""]",All Days
15,Main Courses,Veal Liver,"[""veal liver"", ""onions"", ""butter"", ""flour"", ""salt"", ""pepper""]","[""dried tomatoes"", ""raisins"", ""gnocchi""]",All Seasons,Meat,24.5,240,Pan-Fried,Medium,"[""gluten"", ""dairy""]",Mon-Fri (12 PM to 2 PM)
16,Main Courses,Fish of the Day,"[""fish fillet"", ""lime juice"", ""mashed potatoes"", ""beetroot"", ""coconut milk""]","[""lime mashed potatoes"", ""beetroot"", ""coconut foam""]",All Seasons,Meat,23,230,Grilled,Low,"[""seafood""]",Mon-Fri (12 PM to 2 PM)
17,Main Courses,Rump Steak Medium,"[""rump steak"", ""salt"", ""pepper"", ""olive oil"", ""butter""]","[""fried potatoes"", ""mixed salad"", ""jus""]",All Seasons,Meat,24.5,250,Grilled,Medium,"[""none""]",Mon-Fri (12 PM to 2 PM)
18,Main Courses,"Schnitzel ""Vienna Style""","[""veal or pork cutlet"", ""flour"", ""eggs"", ""bread crumbs"", ""sunflower oil"", ""salt""]","[""cauliflower"", ""rosemary potatoes""]",All Seasons,Meat,21.5,220,Fried,Medium,"[""gluten"", ""dairy""]",Mon-Fri (12 PM to 2 PM)
19,Main Courses,Risotto,"[""arborio rice"", ""pumpkin"", ""picandou cheese"", ""parmesan cheese"", ""white wine"", ""vegetable stock""]","[""pumpkin"", ""picandou"", ""parmesan""]",All Seasons,Vegetarian,21,210,Boiled,Low,"[""dairy""]",Mon-Fri (12 PM to 2 PM)
20,Main Courses,Pasta Carbonara,"[""spaghetti"", ""egg yolks"", ""pancetta"", ""parmesan cheese"", ""black pepper""]","[""egg"", ""pancetta"", ""parmesan""]",All Seasons,Meat,21,210,Boiled,Low,"[""gluten"", ""dairy""]",Mon-Fri (12 PM to 2 PM)
21,Desserts,Nougat Tiramisu,"[""mascarpone"", ""nougat"", ""coffee"", ""ladyfingers"", ""cocoa powder"", ""sugar""]","[""nougat"", ""port wine pear"", ""pumpkin ice cream""]",All Seasons,Vegetarian,16.5,250,No Cook,Low,"[""dairy""]",All Days
22,Desserts,Poppy Seed and Curd Dumplings,"[""poppy seeds"", ""curd cheese"", ""flour"", ""eggs"", ""butter"", ""vanilla""]","[""spiced plums"", ""vanilla sauce"", ""sweet crumbs""]",Winter,Vegetarian,16.5,240,Boiled,Low,"[""dairy"", ""gluten""]",All Days
23,Desserts,Culinary Specialties Display,"[""cheddar cheese"", ""brie cheese"", ""salami"", ""prosciutto"", ""crackers""]","[""cheese board"", ""cold cuts""]",All Seasons,Vegetarian,16.5,300,No Cook,None,"[""dairy""]",All Days
24,Desserts,Dessert of the Day: 3-Course Menu,"[""seasonal dessert items"", ""optional beef ingredients""]","[""adjusted portions"", ""optional beef surcharge""]",All Seasons,Meat,10.5,350,Mixed Methods,Varies,"[""varies""]",Until 8:30 PM
25,Chef’s Choice,Culinary Specialties Display Case,"[""cheddar cheese"", ""brie cheese"", ""salami"", ""prosciutto"", ""crackers""]","[""cheese platter"", ""cold cuts""]",All Seasons,Vegetarian,16.5,160,No Cook,None,"[""dairy""]",Mon-Fri (12 PM to 2 PM)
26,Chef’s Choice,2-Course Lunch Menu,"[""starter ingredients"", ""main course ingredients""]","[""appetizer"", ""main course""]",All Seasons,Vegetarian,34,600,Mixed Methods,Varies,"[""varies""]",Mon-Fri (12 PM to 2 PM)
27,Chef’s Choice,3-Course Menu,"[""starter ingredients"", ""main course ingredients"", ""dessert ingredients""]","[""adjusted portions"", ""optional beef surcharge""]",All Seasons,Vegetarian,66,800,Mixed Methods,Varies,"[""varies""]",Until 8:30 PM
28,Chef’s Choice,Vegetarian 3-Course Menu,"[""beetroot soup"", ""potato gnocchi"", ""yutu tarte"", ""dark chocolate""]","[""beetroot soup"", ""gnocchi"", ""yutu tarte""]",All Seasons,Vegetarian,39,750,Mixed Methods,Low,"[""dairy""]",All Days